directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;area;dpto;clase;fex_c_2011
7658;1;1;41;47;4724;4;50;50; ; ; ;1;1;03;73;73;1;402,673269850039
7658;1;2;21;96;9602;5;60;0;6; ;400000;1;1;03;73;73;1;402,673269850039
7660;1;1;41;47;4711;4;40;40; ; ;400000;1;1;03;05;05;1;1617,69156053227
7660;1;3;41;47;4773;4;48;48; ; ;1000000;1;1;03;05;05;1;1617,69156053227
7662;2;1;39;45;4520;1;40;20;7;981000; ; ;1;03;44;44;1;336,176384507237
7663;1;1;45;47;4731;1;64;40;6; ; ; ;1;03;08;08;1;317,372758399092
7663;1;2;77;56;5619;4;36;0;6; ; ;1;1;03;08;08;1;317,372758399092
7665;1;1;85;71;7110;1;48;0;7;800; ; ;1;03;11;11;1;3803,85291867625
7665;1;2;45;47;4792;4;25;0;7; ;400;1;1;03;11;11;1;3803,85291867625
7665;1;3;02;71;7110;1;48;0;7;1000000; ; ;1;03;11;11;1;3803,85291867625
7667;1;1;21;68;6820;5;40;0;5; ; ;1;1;03;52;52;1;177,658258674213
7667;1;2;21;68;6820;5;40;0;5; ; ;1;1;03;52;52;1;177,658258674213
7668;1;1;45;47;4723;1;60;15;6;750000; ; ;1;03;23;23;1;107,838210737958
7668;1;2;57;96;9602;4;30;8;6; ;80000;1;1;03;23;23;1;107,838210737958
7670;1;1;39;84;8424;2;40;40; ;35000000; ; ;1;03;11;11;1;2192,72585378297
7673;1;2;45;10;1081;1;36;0;1;320000; ; ;1;03;73;73;1;373,304148692058
7674;1;1;59;86;8621;4;72;72; ; ;800000;1;1;03;08;08;1;430,49500979283
7674;1;4;58;86;8610;1;60;60; ;877800; ; ;1;03;08;08;1;430,49500979283
7675;1;1;13;85;8544;4;24;24; ; ;1800000;1;1;03;68;68;1;538,498822771045
7677;1;1;98;49;4921;4;56;0;7; ;1000000;1;1;03;18;18;1;78,0631387807321
7678;1;1;77;56;5629;1;48;30;6;650000; ; ;1;03;08;08;1;314,753228933792
7680;1;1;58;80;8010;1;50;0;3;1050000; ; ;1;03;19;19;1;145,717507614878
7681;1;1;41;47;4752;5;48;0;7; ; ;1;1;03;08;08;1;430,258660538005
7681;1;2;33;47;4752;1;48;0;7;900000; ; ;1;03;08;08;1;430,258660538005
7683;1;1;61;01;0161;4;60;16;1; ;150000;1;1;03;66;66;1;679,041034464057
7686;1;1;98;49;4921;4;50;6;6; ;950000;1;1;03;13;13;1;237,579713651272
7687;1;3;98;49;4921;4;48;0;5; ;600000;1;1;03;13;13;1;386,020991920908
7687;1;4;98;49;4921;4;40;0;5; ;600000;1;1;03;13;13;1;386,020991920908
7687;1;5;45;47;4771;1;48;0;5;877803; ; ;1;03;13;13;1;386,020991920908
7688;1;1;31;84;8412;2;40;40; ; ; ; ;1;03;47;47;1;94,6458988673875
7689;1;2;97;46;4631;1;44;44; ;877800; ; ;1;03;47;47;1;142,673881038513
7690;1;3;16;73;7310;4;30;0;7; ;800;1;1;03;11;11;1;3107,78185964159
7693;1;1;13;84;8413;4;30;30; ; ;1500000;1;1;03;68;68;1;344,639246573469
7694;1;1;98;49;4921;4;70;40;6; ;900000;1;1;03;54;54;1;370,37754050359
7695;1;1;98;49;4921;4;48;0;6; ;1000000;1;1;03;08;08;1;476,127808738456
7695;1;2;57;96;9602;4;48;0;6; ;650000;1;1;03;08;08;1;476,127808738456
7696;1;1;80;15;1521;4;60;0;5; ;1500000;1;1;03;68;68;1;483,097058908663
7696;1;2;97;32;3250;1;48;0;5;1000000; ; ;1;03;68;68;1;483,097058908663
7697;1;1;85;95;9522;5;54;0;6; ;2000000;1;1;03;08;08;1;468,918612823412
7697;1;2;38;86;8699;1;48;48; ;900000; ; ;1;03;08;08;1;468,918612823412
7697;1;3;45;47;4771;4;14;0;6; ;50000;1;1;03;08;08;1;468,918612823412
7698;1;1;45;47;4781;4;72;60;7; ;560000;1;1;03;11;11;1;3253,98424120982
7700;1;2;53;92;9200;1;48;0;5;1000000; ; ;1;03;11;11;1;1682,66964756927
7702;1;2;95;41;4111;1;48;0;6;500000; ; ;1;03;08;08;1;361,773262469391
7704;1;1;98;49;4921;4;50;0;6; ;600000;1;1;03;20;20;1;247,516722851633
7704;1;2;57;96;9602;4;40;0;6; ;400000;1;1;03;20;20;1;247,516722851633
7706;1;1;98;49;4921;4;50;30;7; ;800000;1;1;03;44;44;1;111,264532675148
7708;1;1;90;22;2229;1;48;0;5;875000; ; ;1;03;05;05;1;1381,38719896654
7709;1;2;45;10;1082;1;48;48; ;950000; ; ;1;03;66;66;1;243,814781698739
7711;1;1;58;84;8423;2;60;60; ;2200000; ; ;1;03;23;23;1;217,921082981201
7712;1;1;84;95;9529;4;45;15;7; ;560000;1;1;03;70;70;1;107,850727593235
7712;1;3;98;49;4921;4;56;16;7; ;490000;1;1;03;70;70;1;107,850727593235
7713;1;1;19;84;8413;2;40;40; ;2500000; ; ;1;03;50;50;1;141,851301420496
7714;1;1;54;81;8121;4;12;0;1; ;150000;1;1;03;73;73;1;282,665861315004
7714;1;2;45;47;4789;4;60;0;1; ;50000;1;1;03;73;73;1;282,665861315004
7715;1;1;98;49;4922;1;24;0;6;980657; ; ;1;03;08;08;1;364,743392931055
7715;1;2;41;56;5619;4;30;0;6; ;200000;1;1;03;08;08;1;364,743392931055
7715;1;5;98;49;4922;4;24;0;6; ;160000;1;1;03;08;08;1;364,743392931055
7717;1;1;53;56;5619;4;42;0;5; ;350000;1;1;03;47;47;1;129,064717947454
7718;1;1;84;95;9529;4;50;0;6; ;800000;1;1;03;05;05;1;1358,61269723428
7720;1;1;37;53;5320;4;40;40; ; ;350000;1;1;03;20;20;1;232,508844222686
7720;1;2;54;97;9700;3;40;0;6;300000; ; ;1;03;20;20;1;232,508844222686
7723;1;2;77;56;5619;4;21;0;7; ;10000;1;1;03;70;70;1;91,8438843575202
7723;1;3;54;97;9700;3;48;8;5;350000; ; ;1;03;70;70;1;91,8438843575202
7723;1;5;57;96;9602;4;42;0;6; ;50000;1;1;03;70;70;1;91,8438843575202
7723;1;8;55;93;9311;1;42;0;5;200000; ; ;1;03;70;70;1;91,8438843575202
7723;1;9;54;97;9700;3;8;0;5;40000; ; ;1;03;70;70;1;91,8438843575202
7726;1;2;55;81;8121;4;30;0;6; ;200000;1;1;03;41;41;1;182,572104407621
7728;1;1;45;47;4792;4;21;21; ; ;250000;1;1;03;70;70;1;127,320643551088
7728;1;2;98;47;4711;1;54;54; ;877803; ; ;1;03;70;70;1;127,320643551088
7731;1;1;54;88;8890;1;40;0;6;877803; ; ;1;03;66;66;1;646,643661640369
7736;1;1;84;33;3312;1;48;48; ;1200000; ; ;1;03;66;66;1;429,846359950859
7736;1;2;53;56;5619;4;40;0;6; ;0;1;1;03;66;66;1;429,846359950859
7738;1;2;45;47;4792;4;15;0;7; ;150000;1;1;03;50;50;1;102,351109690498
7739;1;1;55;46;4644;1;40;0;5;980657; ; ;1;03;19;19;1;97,0081146665543
7745;1;1;77;56;5619;4;48;0;6; ; ;1;1;03;20;20;1;120,726920246698
7745;1;2;15;10;1040;1;48;0;5;1250000; ; ;1;03;20;20;1;120,726920246698
7745;1;4;45;56;5619;4;45;0;6; ; ;1;1;03;20;20;1;120,726920246698
7745;1;5;77;56;5619;4;45;0;6; ; ;1;1;03;20;20;1;120,726920246698
7746;1;1;03;81;8129;1;48;48; ;875000; ; ;1;03;05;05;1;1450,46128545167
7746;1;2;53;56;5611;1;48;48; ;920000; ; ;1;03;05;05;1;1450,46128545167
7748;1;1;39;56;5611;1;48;40;6;1000000; ; ;1;03;54;54;1;357,395449050274
7749;1;3;79;95;9529;4;30;0;6; ;200000;1;1;03;66;66;1;479,690672585245
7749;1;4;93;45;4520;4;50;0;6; ;800000;1;1;03;66;66;1;479,690672585245
7751;1;3;45;47;4719;1;48;0;7; ; ; ;1;03;11;11;1;3151,72204413476
7751;1;4;02;20;2011;1;48;0;7; ; ; ;1;03;11;11;1;3151,72204413476
7753;1;1;97;53;5320;4;48;8;6; ;1000000;1;1;03;63;63;1;95,899581941965
7754;1;1;98;49;4921;4;42;0;6; ;400000;1;1;03;19;19;1;108,964974368197
7756;1;1;13;85;8559;4;40;30;6; ; ;1;1;03;19;19;1;48,1025334614295
7757;1;2;55;81;8121;4;24;0;6; ;270000;1;1;03;13;13;1;349,72488347402
7757;1;3;93;43;4330;4;24;0;6; ;500000;1;1;03;13;13;1;349,72488347402
7757;1;4;55;81;8121;4;24;0;5; ;420000;1;1;03;13;13;1;349,72488347402
7759;1;1;99;38;3830;4;48;0;7; ;1000000;1;1;03;66;66;1;224,04741368943
7759;1;2;38;61;6190;1;54;54; ;877803; ; ;1;03;66;66;1;224,04741368943
7760;1;1;13;85;8559;1;16;12;7;300000; ; ;1;03;52;52;1;402,042700019587
7762;1;1;58;84;8423;2;60;48;7;3000000; ; ;1;03;23;23;1;177,648765055214
7762;1;2;13;85;8530;2;30;30; ;2000000; ; ;1;03;23;23;1;177,648765055214
7763;1;1;12;84;8412;4;40;30;7; ;4500000;1;1;03;41;41;1;121,806359283399
7765;1;4;77;47;4723;1;48;30;7;800000; ; ;1;03;23;23;1;269,484415232277
7766;1;4;85;95;9522;4;20;0;6; ; ;1;1;03;20;20;1;98,2675951637911
7767;1;2;55;81;8121;4;15;0;7; ;300;1;1;03;41;41;1;65,4596772607787
7768;1;1;45;56;5619;4;48;0;7; ;4000000;1;1;03;70;70;1;136,210033845386
7768;1;2;97;52;5224;4;45;0;7; ;350000;1;1;03;70;70;1;136,210033845386
7768;1;4;45;47;4771;1;46;0;7;600000; ; ;1;03;70;70;1;136,210033845386
7772;1;1;95;42;4210;1;44;8;7;877803; ; ;1;03;52;52;1;82,2184221209976
7772;1;2;54;97;9700;3;48;32;7;400000; ; ;1;03;52;52;1;82,2184221209976
7774;1;1;54;97;9700;3;24;0;5;600000; ; ;1;03;11;11;1;1650,72144709296
7775;1;1;11;69;6920;4;35;10;6; ;3000000;1;1;03;11;11;1;1858,07967600984
7776;1;1;85;43;4321;4;56;0;7; ;900;1;1;03;70;70;1;158,541196006561
7776;1;2;45;47;4773;1;48;0;7;981; ; ;1;03;70;70;1;158,541196006561
7778;1;1;95;16;1630;4;50;0;5; ;1500000;1;1;03;05;05;1;1354,04444738603
7778;1;2;55;71;7110;1;48;0;5;1000000; ; ;1;03;05;05;1;1354,04444738603
7778;1;3;97;21;2100;1;48;48; ;900000; ; ;1;03;05;05;1;1354,04444738603
7779;1;2;41;46;4645;4;48;0;6; ;700000;1;1;03;54;54;1;337,630122761642
7783;1;1;97;10;1030;1;48;40;7;1400000; ; ;1;03;08;08;1;606,803121111595
7784;1;2;95;41;4111;4;44;0;6; ;800000;1;1;03;47;47;1;64,2336988268971
7784;1;3;32;70;7010;1;40;40; ;2000000; ; ;1;03;47;47;1;64,2336988268971
7785;1;1;98;49;4921;4;96;0;7; ;0;1;1;03;52;52;1;311,808615986839
7785;1;2;55;81;8121;4;21;0;7; ;180000;1;1;03;52;52;1;311,808615986839
7786;1;3;98;46;4631;1;40;0;6;600000; ; ;1;03;47;47;1;146,769676496908
7791;1;1;75;16;1690;4;50;0;6; ;600000;1;1;03;54;54;1;459,316209683618
7791;1;2;77;56;5619;4;48;48; ; ;350000;1;1;03;54;54;1;459,316209683618
7791;1;3;75;16;1690;4;48;0;6; ;400000;1;1;03;54;54;1;459,316209683618
7793;1;1;57;96;9602;4;50;0;6; ;400000;1;1;03;68;68;1;389,94542173142
7793;1;2;57;96;9602;4;40;0;6; ; ;1;1;03;68;68;1;389,94542173142
7793;1;3;57;96;9602;4;40;0;6; ; ;1;1;03;68;68;1;389,94542173142
7795;2;1;79;95;9529;4;40;0;7; ;200000;1;1;03;50;50;1;160,727594795582
7797;1;1;59;96;9609;4;48;8;6; ;600000;1;1;03;66;66;1;204,843349658907
7801;1;1;39;85;8530;1;48;0;7;1000000; ; ;1;03;41;41;1;221,446424939381
7802;1;2;45;47;4792;4;40;0;6; ;60000;1;1;03;20;20;1;134,195591472675
7803;1;2;84;45;4520;5;56;0;7; ;500000;1;1;03;70;70;1;80,3319440762101
7805;1;1;41;47;4759;4;48;0;6; ;1000000;1;1;03;47;47;1;131,192656069988
7805;1;2;41;47;4759;4;48;0;6; ;700000;1;1;03;47;47;1;131,192656069988
7810;1;1;51;56;5613;4;60;0;7; ;200000;1;1;03;52;52;1;87,4220409376286
7811;1;1;16;74;7420;4;48;0;7; ;90000;1;1;03;50;50;1;257,090412108595
7812;1;1;58;80;8010;1;72;72; ;1200000; ; ;1;03;76;76;1;798,306963316028
7812;1;2;54;97;9700;3;54;54; ;890000; ; ;1;03;76;76;1;798,306963316028
7813;1;2;57;96;9602;4;60;0;7; ;500000;1;1;03;76;76;1;705,688081481322
7813;1;5;45;18;1811;1;48;0;7;877807; ; ;1;03;76;76;1;705,688081481322
7813;1;9;15;58;5813;1;48;48; ;1500000; ; ;1;03;76;76;1;705,688081481322
7814;1;1;79;14;1410;4;48;0;5; ;1050000;1;1;03;73;73;1;199,787208685843
7815;1;2;39;65;6511;1;48;40;6;1000000; ; ;1;03;13;13;1;470,307357989253
7816;1;1;55;81;8121;4;18;18; ; ;220000;1;1;03;70;70;1;147,990093631182
7816;1;2;98;49;4921;4;60;14;6; ;450000;1;1;03;70;70;1;147,990093631182
7816;1;4;55;81;8121;4;14;14; ; ;200000;1;1;03;70;70;1;147,990093631182
7817;1;2;85;95;9522;4;60;0;6; ;800000;1;1;03;66;66;1;306,880361444512
7817;1;3;85;95;9522;6;40;0;6; ; ; ;1;03;66;66;1;306,880361444512
7819;1;5;45;47;4754;1;48;0;5;1000000; ; ;1;03;41;41;1;53,5399972275731
7826;1;1;99;36;3600;1;48;36;6;877803; ; ;1;03;70;70;1;99,0271672064017
7828;1;1;85;43;4321;4;48;0;5; ;800000;1;1;03;19;19;1;101,544945743685
7829;1;1;77;10;1081;4;77;42;5; ;850000;1;1;03;19;19;1;105,044776840402
7829;1;2;41;47;4711;4;91;40;5; ;500000;1;1;03;19;19;1;105,044776840402
7832;1;1;32;84;8412;2;40;40; ;1400000; ; ;1;03;52;52;1;121,420588840672
7832;1;2;12;69;6910;4;40;0;6; ;2500000;1;1;03;52;52;1;121,420588840672
7832;1;3;45;45;4530;1;45;0;6;1000000; ; ;1;03;52;52;1;121,420588840672
7832;1;4;45;45;4530;1;45;0;6;1000000; ; ;1;03;52;52;1;121,420588840672
7835;1;1;96;36;3600;1;48;35;7;1200000; ; ;1;03;18;18;1;129,341026805962
7837;1;1;61;01;0113;4;42;0;7; ;300;1;1;03;70;70;1;136,864782672639
7841;1;1;03;01;0112;1;48;48; ;877803; ; ;1;03;54;54;1;471,340402012851
7841;1;3;45;47;4719;1;88;0;7;877803; ; ;1;03;54;54;1;471,340402012851
7842;1;1;08;62;6201;4;48;14;7; ;400000;1;1;03;20;20;1;150,652310660669
7842;1;2;07;86;8699;1;48;0;7;1400000; ; ;1;03;20;20;1;150,652310660669
7843;1;1;95;41;4111;4;40;0;6; ; ;1;1;03;20;20;1;102,765526749537
7843;1;2;56;96;9601;4;30;0;6; ; ;1;1;03;20;20;1;102,765526749537
7844;1;1;03;11;1103;1;48;16;7; ; ; ;1;03;68;68;1;455,174419093599
7845;1;1;98;49;4921;1;52;40;5;1600000; ; ;1;03;11;11;1;1804,76167040072
7846;1;1;03;84;8413;4;48;48; ; ;3000000;1;1;03;11;11;1;2060,05473356483
7846;1;2;08;62;6202;1;48;48; ;3900000; ; ;1;03;11;11;1;2060,05473356483
7848;1;1;95;41;4111;4;48;0;6; ;600000;1;1;03;08;08;1;522,291585287924
7849;1;1;77;10;1081;4;25;15;7; ;300000;1;1;03;13;13;1;708,170537829859
7852;1;1;45;47;4781;4;48;0;7; ;550000;1;1;03;66;66;1;342,273850608311
7856;1;1;84;29;2930;1;40;0;6;1000000; ; ;1;03;08;08;1;557,414743616498
7857;1;1;59;49;4921;4;25;0;5; ;600000;1;1;03;47;47;1;223,384158952916
7857;1;2;79;14;1410;4;18;0;6; ;100000;1;1;03;47;47;1;223,384158952916
7857;1;3;98;49;4921;4;25;0;6; ;900000;1;1;03;47;47;1;223,384158952916
7859;1;1;13;85;8513;4;20;20; ; ;500000;1;1;03;44;44;1;124,742467018605
7860;1;3;98;49;4921;4;60;0;6; ; ;1;1;03;20;20;1;93,4824249438025
7860;1;4;98;49;4921;4;50;0;6; ; ;1;1;03;20;20;1;93,4824249438025
7860;1;5;41;47;4771;4;30;0;6; ; ;1;1;03;20;20;1;93,4824249438025
7862;1;1;98;49;4921;4;48;0;7; ;700000;1;1;03;27;27;1;126,874604183544
7864;1;1;98;49;4921;4;40;0;7; ;1300000;1;1;03;08;08;1;873,376471608829
7866;1;1;84;47;4732;1;44;8;7;877803; ; ;1;03;52;52;1;52,2340122709835
7866;1;2;54;97;9700;3;24;0;7;200000; ; ;1;03;52;52;1;52,2340122709835
7867;1;1;45;56;5619;4;15;0;6; ;150000;1;1;03;08;08;1;519,527630062683
7867;1;2;13;85;8559;4;10;0;6; ;200000;1;1;03;08;08;1;519,527630062683
7868;1;1;45;47;4771;1;48;0;5;877000; ; ;1;03;52;52;1;128,38091341579
7869;1;1;80;95;9523;4;50;0;6; ;400000;1;1;03;19;19;1;42,7122494424766
7869;1;2;45;92;9200;4;40;0;1; ;200000;1;1;03;19;19;1;42,7122494424766
7869;1;3;83;80;8020;4;40;0;6; ;300000;1;1;03;19;19;1;42,7122494424766
7870;1;1;92;13;1313;4;25;0;6; ;600000;1;1;03;73;73;1;418,441862236698
7871;1;1;53;56;5611;4;15;0;5; ;200000;1;1;03;19;19;1;51,0965312274531
7871;1;5;41;47;4729;4;50;30;5; ;120000;1;1;03;19;19;1;51,0965312274531
7873;1;1;59;86;8610;1;54;54; ; ; ; ;1;03;19;19;1;100,534145437695
7873;1;2;07;84;8412;4;48;0;7; ; ;1;1;03;19;19;1;100,534145437695
7874;1;1;53;56;5619;1;48;0;7;800000; ; ;1;03;50;50;1;169,01441901236
7874;1;2;53;56;5619;1;48;0;7;600000; ; ;1;03;50;50;1;169,01441901236
7874;1;3;53;56;5611;1;48;0;7;400000; ; ;1;03;50;50;1;169,01441901236
7874;1;4;58;56;5611;1;72;72; ;800000; ; ;1;03;50;50;1;169,01441901236
7874;1;6;37;56;5611;1;48;28;7; ; ; ;1;03;50;50;1;169,01441901236
7875;1;1;79;14;1410;4;45;45; ; ;500000;1;1;03;76;76;1;719,098991160187
7879;1;1;21;35;3511;1;48;48; ;1500000; ; ;1;03;47;47;1;231,669786414862
7881;1;1;13;85;8530;2;40;0;5;2200000; ; ;1;03;19;19;1;109,626413156969
7881;1;3;08;84;8412;4;40;40; ; ; ;1;1;03;19;19;1;109,626413156969
7882;1;1;59;86;8621;1;48;48; ;877000; ; ;1;03;20;20;1;83,8388203476485
7886;1;1;05;71;7110;4;10;0;5; ;2000000;1;1;03;05;05;1;996,011240153464
7887;1;1;54;97;9700;3;48;0;7;400000; ; ;1;03;47;47;1;132,177179422946
7888;1;2;45;10;1081;4;36;0;6; ;450000;1;1;03;08;08;1;649,475041128189
7888;1;5;55;81;8121;4;20;0;6; ;240000;1;1;03;08;08;1;649,475041128189
7888;1;6;77;10;1081;4;60;0;6; ;450000;1;1;03;08;08;1;649,475041128189
7889;1;1;45;56;5619;4;30;0;6; ;400000;1;1;03;54;54;1;431,836863679468
7889;1;2;45;56;5619;4;48;0;6; ;480000;1;1;03;54;54;1;431,836863679468
7890;1;3;59;55;5511;1;48;0;6;1200000; ; ;1;03;13;13;1;481,873718279511
7893;1;1;03;84;8413;2;40;0;5;3500000; ; ;1;03;27;27;1;27,4798796152358
7893;1;2;39;84;8412;2;40;40; ;2000000; ; ;1;03;27;27;1;27,4798796152358
7894;1;1;11;69;6920;4;30;0;6; ;2000000;1;1;03;20;20;1;163,997775618655
7895;1;1;97;53;5320;1;68;68; ;1300000; ; ;1;03;11;11;1;3007,70800517254
7902;1;1;13;85;8530;2;48;48; ;4000000; ; ;1;03;05;05;1;986,001289912851
7902;1;2;98;49;4921;5;40;0;5; ;1700000;1;1;03;05;05;1;986,001289912851
7908;1;2;45;47;4752;1;55;48;1;2200000; ; ;1;03;05;05;1;652,885019179165
7908;1;3;07;86;8621;4;48;0;5; ;2800000;1;1;03;05;05;1;652,885019179165
7910;1;1;70;36;3600;1;48;48; ;1100000; ; ;1;03;13;13;1;475,49269053377
7910;1;3;55;68;6820;1;48;24;6;877803; ; ;1;03;13;13;1;475,49269053377
7910;1;4;33;55;5511;1;48;0;5;1000000; ; ;1;03;13;13;1;475,49269053377
7911;1;1;45;47;4792;4;20;0;7; ;200000;1;1;03;47;47;1;185,099932270125
7911;1;2;97;47;4711;1;48;48; ;877803; ; ;1;03;47;47;1;185,099932270125
7913;1;1;07;86;8610;2;48;48; ;1400000; ; ;1;03;63;63;1;116,539209211321
7914;1;3;95;41;4112;4;50;0;5; ; ;1;1;03; ;76;1;2023,14824022055
7915;1;1;13;85;8530;1;48;0;1; ; ; ;1;03;73;73;1;245,277126046506
7915;1;2;02;71;7110;4;48;0;1; ; ;1;1;03;73;73;1;245,277126046506
7916;1;1;41;47;4754;4;84;0;7; ;0;1;1;03;11;11;1;3072,55747151787
7916;1;3;45;85;8542;1;60;0;7;1300000; ; ;1;03;11;11;1;3072,55747151787
7919;1;2;45;47;4792;4;30;0;7; ;120000;1;1;03;20;20;1;183,278748915617
7920;1;1;98;49;4921;4;48;48; ; ; ;1;1;03;20;20;1;194,849042965704
7921;1;1;85;95;9522;4;42;0;7; ;800;1;1;03;70;70;1;65,8962398638569
7921;1;5;98;49;4921;4;56;0;5; ;700;1;1;03;70;70;1;65,8962398638569
7921;1;10;98;49;4921;4;49;0;5; ;700000;1;1;03;70;70;1;65,8962398638569
7921;1;14;85;95;9522;4;42;0;7; ;800;1;1;03;70;70;1;65,8962398638569
7921;1;17;93;43;4330;4;45;0;5; ;400;1;1;03;70;70;1;65,8962398638569
7921;1;18;45;56;5629;4;42;0;5; ;600;1;1;03;70;70;1;65,8962398638569
7922;1;1;58;84;8424;2;48;48; ;2700000; ; ;1;03;11;11;1;1588,75862239535
7923;1;1;85;33;3312;4;56;0;6; ;800000;1;1;03;47;47;1;173,103180807856
7923;1;4;95;45;4530;4;48;0;6; ;240000;1;1;03;47;47;1;173,103180807856
7923;1;5;84;33;3312;1;48;48; ;877800; ; ;1;03;47;47;1;173,103180807856
7924;1;1;97;47;4759;1;48;6;6; ; ; ;1;03;63;63;1;66,0375675879123
7926;1;1;85;95;9522;4;50;12;7; ;280000;1;1;03;70;70;1;84,8062568150743
7929;1;1;77;01;0145;1;48;40;2;1400000; ; ;1;03;68;68;1;304,801710262932
7932;1;2;53;56;5611;1;48;0;3;910000; ; ;1;03;08;08;1;648,181570111476
7934;1;1;12;69;6910;4;48;0;6; ;5000000;1;1;03;27;27;1;27,4798796152358
7935;1;1;53;56;5613;4;50;0;7; ;500000;1;1;03;47;47;1;228,56279968471
7935;1;2;54;97;9700;3;48;0;7;600000; ; ;1;03;47;47;1;228,56279968471
7935;1;3;98;49;4921;4;30;0;7; ;400000;1;1;03;47;47;1;228,56279968471
7936;1;1;13;93;9329;1;48;0;6;1000000; ; ;1;03;73;73;1;397,422716036339
7936;1;2;45;47;4792;4;30;0;5; ;400000;1;1;03;73;73;1;397,422716036339
7937;1;2;45;47;4781;4;42;22;6; ;500000;1;1;03;70;70;1;93,879607017323
7938;1;1;85;90;9007;4;40;0;5; ;700;1;1;03;20;20;1;150,879050881135
7938;1;2;54;97;9700;3;42;0;6;400000; ; ;1;03;20;20;1;150,879050881135
7942;1;1;98;49;4923;1;90;0;6;1500000; ; ;1;03;08;08;1;478,065178375561
7944;1;1;58;86;8692;1;48;48; ;1200000; ; ;1;03;70;70;1;108,208534934119
7944;1;2;84;45;4520;4;45;16;7; ;700000;1;1;03;70;70;1;108,208534934119
7945;1;1;44;86;8622;1;48;0;6;900000; ; ;1;03;20;20;1;231,70989333209
7947;1;2;79;14;1410;4;48;0;6; ;800000;1;1;03;11;11;1;1438,33896822978
7947;1;3;41;45;4530;4;48;0;6; ;877803;1;1;03;11;11;1;1438,33896822978
7950;1;1;58;84;8413;1;60;60; ; ; ; ;1;03;47;47;1;278,403449632244
7951;1;1;41;56;5619;4;25;0;6; ; ;1;1;03;20;20;1;254,465760229056
7953;1;2;19;74;7490;4;48;10;6; ;600000;1;1;03;05;05;1;1230,6944240196
7955;1;1;07;86;8610;1;48;48; ; ; ; ;1;03;08;08;1;550,627019907295
7962;1;1;97;42;4210;1;60;40;6;2300000; ; ;1;03;41;41;1;212,195209924203
7962;1;2;19;86;8692;1;45;45; ;1600000; ; ;1;03;41;41;1;212,195209924203
7967;1;1;59;86;8610;1;52;56; ;980000; ; ;1;03;19;19;1;92,565413056072
7969;1;2;57;96;9602;4;60;0;6; ;300000;1;1;03;44;44;1;45,8078511026341
7970;1;1;59;47;4773;1;48;60; ;900000; ; ;1;03;08;08;1;563,459039199842
7970;1;2;97;47;4711;1;48;40;7;910000; ; ;1;03;08;08;1;563,459039199842
7970;1;3;45;47;4792;4;18;0;7; ;75000;1;1;03;08;08;1;563,459039199842
7970;1;4;87;45;4520;4;48;0;7; ;700000;1;1;03;08;08;1;563,459039199842
7971;1;1;59;86;8610;4;42;42; ; ;1200000;1;1;03;50;50;1;130,101694990351
7972;1;1;54;97;9700;3;40;0;7;460000; ; ;1;03;47;47;1;376,214392149771
7973;1;2;45;47;4792;4;28;0;7; ; ;1;1;03;20;20;1;162,26206229279
7974;1;1;51;55;5530;5;70;0;6; ;5000000;1;1;03;68;68;1;264,789918043867
7974;1;2;54;55;5511;1;48;0;6;600000; ; ;1;03;68;68;1;264,789918043867
7975;1;3;37;68;6820;1;48;0;7;877803; ; ;1;03;47;47;1;225,30378083219
7978;1;4;44;64;6412;1;48;48; ;1700000; ; ;1;03;70;70;1;86,6815310856311
7979;1;2;11;47;4754;1;44;22;7;3000000; ; ;1;03;54;54;1;330,929065879273
7979;1;3;97;58;5813;1;21;12;5;450000; ; ;1;03;54;54;1;330,929065879273
7980;1;1;45;56;5619;4;60;0;7; ;500000;1;1;03;68;68;1;385,196943996357
7980;1;2;54;97;9700;3;16;0;7;320000; ; ;1;03;68;68;1;385,196943996357
7980;1;3;37;53;5320;1;60;60; ;877803; ; ;1;03;68;68;1;385,196943996357
7980;1;4;45;01;0145;1;48;48; ;900000; ; ;1;03;68;68;1;385,196943996357
7981;1;1;41;47;4771;4;25;0;6; ;100000;1;1;03;54;54;1;226,428885820329
7981;1;2;87;25;2511;4;44;0;6; ;1200000;1;1;03;54;54;1;226,428885820329
7982;1;2;33;45;4530;1;48;48; ;877803; ; ;1;03;70;70;1;90,4582919563012
7984;1;2;85;95;9522;4;50;0;6; ;0;1;1;03;20;20;1;122,397826285114
7988;1;1;17;93;9329;4;30;0;5; ;400000;1;1;03;47;47;1;210,693669007251
7990;1;1;13;85;8551;2;45;45; ;1800000; ; ;1;03;41;41;1;210,480163822078
7991;1;1;03;84;8412;4;40;1;5; ;1400000;1;1;03; ;76;1;3969,2665172628
7991;1;2;39;84;8412;4;40;1;5; ;1400000;1;1;03; ;76;1;3969,2665172628
7991;1;3;58;52;5222;1;48;48; ;878000; ; ;1;03; ;76;1;3969,2665172628
8003;1;1;98;49;4921;4;60;0;6; ;900000;1;1;03;68;68;1;501,499122540141
8003;1;2;41;47;4761;4;60;0;6; ;500000;1;1;03;68;68;1;501,499122540141
8004;1;1;21;10;1012;1;48;48; ;1500000; ; ;1;03;13;13;1;470,694860715664
8004;1;2;57;96;9602;4;50;0;6; ;500000;1;1;03;13;13;1;470,694860715664
